Final area = 339888.0
Black area = 66718.0
block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (215.0, 0) (230.0, 27.0)
sb1 (332.0, 18.0) (348.0, 45.0)
sb2 (73.0, 26.0) (99.0, 48.0)
sb3 (52.0, 0) (73.0, 45.0)
sb4 (230.0, 0) (270.0, 45.0)
sb5 (73.0, 0) (89.0, 26.0)
sb6 (99.0, 0) (126.0, 38.0)
sb7 (0, 0) (29.0, 35.0)
sb8 (540.0, 0) (561.0, 36.0)
sb9 (410.0, 0) (435.0, 44.0)
sb10 (126.0, 0) (141.0, 31.0)
sb11 (170.0, 0) (194.0, 41.0)
sb12 (348.0, 18.0) (365.0, 37.0)
sb13 (270.0, 0) (303.0, 48.0)
sb14 (194.0, 0) (215.0, 44.0)
sb15 (327.0, 0) (361.0, 15.0)
sb16 (831.0, 0) (873.0, 45.0)
sb17 (724.0, 0) (761.0, 41.0)
sb18 (788.0, 0) (831.0, 44.0)
sb19 (29.0, 0) (52.0, 36.0)
sb20 (963.0, 0) (976.0, 17.0)
sb21 (597.0, 0) (625.0, 44.0)
sb22 (141.0, 0) (170.0, 35.0)
sb23 (447.0, 0) (464.0, 40.0)
sb24 (303.0, 0) (327.0, 18.0)
sb25 (644.0, 0) (673.0, 43.0)
sb26 (522.0, 0) (540.0, 27.0)
sb27 (464.0, 0) (502.0, 40.0)
sb28 (435.0, 0) (447.0, 24.0)
sb29 (303.0, 18.0) (332.0, 48.0)
sb30 (502.0, 0) (522.0, 28.0)
sb31 (692.0, 0) (724.0, 36.0)
sb32 (673.0, 0) (692.0, 22.0)
sb33 (365.0, 0) (410.0, 46.0)
sb34 (561.0, 0) (573.0, 29.0)
sb35 (573.0, 0) (585.0, 26.0)
sb36 (761.0, 0) (788.0, 30.0)
sb37 (873.0, 0) (885.0, 29.0)
sb38 (1188.0, 0) (1207.0, 21.0)
sb39 (585.0, 0) (597.0, 13.0)
sb40 (625.0, 0) (644.0, 47.0)
sb41 (1083.0, 0) (1102.0, 36.0)
sb42 (1018.0, 0) (1043.0, 46.0)
sb43 (1271.0, 0) (1292.0, 39.0)
sb44 (976.0, 0) (1000.0, 27.0)
sb45 (1118.0, 0) (1142.0, 25.0)
sb46 (1292.0, 0) (1305.0, 19.0)
sb47 (1043.0, 0) (1083.0, 42.0)
sb48 (1243.0, 0) (1271.0, 34.0)
sb49 (1525.0, 0) (1549.0, 48.0)
sb50 (911.0, 0) (925.0, 19.0)
sb51 (1336.0, 0) (1350.0, 16.0)
sb52 (1000.0, 0) (1018.0, 37.0)
sb53 (1940.0, 0) (1952.0, 36.0)
sb54 (1467.0, 0) (1497.0, 34.0)
sb55 (885.0, 0) (911.0, 31.0)
sb56 (1375.0, 0) (1406.0, 46.0)
sb57 (1406.0, 0) (1453.0, 48.0)
sb58 (1350.0, 0) (1375.0, 25.0)
sb59 (925.0, 0) (963.0, 47.0)
sb60 (1102.0, 0) (1118.0, 39.0)
sb61 (1142.0, 0) (1173.0, 45.0)
sb62 (1207.0, 0) (1243.0, 46.0)
sb63 (1748.0, 0) (1784.0, 46.0)
sb64 (1173.0, 0) (1188.0, 33.0)
sb65 (1323.0, 0) (1336.0, 23.0)
sb66 (1817.0, 0) (1859.0, 45.0)
sb67 (1453.0, 0) (1467.0, 33.0)
sb68 (1497.0, 0) (1525.0, 45.0)
sb69 (1674.0, 0) (1701.0, 36.0)
sb70 (1908.0, 0) (1924.0, 45.0)
sb71 (1716.0, 0) (1748.0, 34.0)
sb72 (1952.0, 0) (1967.0, 32.0)
sb73 (1662.0, 0) (1674.0, 46.0)
sb74 (1628.0, 0) (1662.0, 43.0)
sb75 (2395.0, 0) (2415.0, 37.0)
sb76 (2258.0, 0) (2294.0, 39.0)
sb77 (1305.0, 0) (1323.0, 40.0)
sb78 (1924.0, 0) (1940.0, 42.0)
sb79 (1967.0, 0) (1992.0, 40.0)
sb80 (1701.0, 0) (1716.0, 36.0)
sb81 (1893.0, 0) (1908.0, 32.0)
sb82 (1992.0, 0) (2016.0, 39.0)
sb83 (2621.0, 0) (2658.0, 41.0)
sb84 (1859.0, 0) (1893.0, 38.0)
sb85 (1594.0, 0) (1628.0, 43.0)
sb86 (2103.0, 0) (2142.0, 44.0)
sb87 (1549.0, 0) (1594.0, 48.0)
sb88 (2366.0, 0) (2395.0, 44.0)
sb89 (2202.0, 0) (2222.0, 42.0)
sb90 (2161.0, 0) (2185.0, 46.0)
sb91 (2308.0, 0) (2329.0, 43.0)
sb92 (2503.0, 0) (2548.0, 47.0)
sb93 (2439.0, 0) (2459.0, 24.0)
sb94 (2142.0, 0) (2161.0, 31.0)
sb95 (2329.0, 0) (2366.0, 44.0)
sb96 (1784.0, 0) (1817.0, 46.0)
sb97 (2901.0, 0) (2916.0, 40.0)
sb98 (3035.0, 0) (3048.0, 35.0)
sb99 (2185.0, 0) (2202.0, 40.0)
sb100 (2459.0, 0) (2503.0, 45.0)
sb101 (2733.0, 0) (2763.0, 36.0)
sb102 (2222.0, 0) (2258.0, 40.0)
sb103 (2035.0, 0) (2069.0, 34.0)
sb104 (2294.0, 0) (2308.0, 42.0)
sb105 (2700.0, 0) (2733.0, 35.0)
sb106 (2587.0, 0) (2599.0, 33.0)
sb107 (3441.0, 0) (3456.0, 32.0)
sb108 (2864.0, 0) (2901.0, 38.0)
sb109 (2658.0, 0) (2700.0, 46.0)
sb110 (2548.0, 0) (2587.0, 42.0)
sb111 (3355.0, 0) (3368.0, 21.0)
sb112 (2988.0, 0) (3013.0, 30.0)
sb113 (2415.0, 0) (2439.0, 36.0)
sb114 (2954.0, 0) (2988.0, 44.0)
sb115 (2599.0, 0) (2621.0, 34.0)
sb116 (2016.0, 0) (2035.0, 28.0)
sb117 (3240.0, 0) (3261.0, 39.0)
sb118 (2916.0, 0) (2954.0, 44.0)
sb119 (2836.0, 0) (2864.0, 45.0)
sb120 (3273.0, 0) (3309.0, 36.0)
sb121 (2069.0, 0) (2103.0, 38.0)
sb122 (3156.0, 0) (3176.0, 43.0)
sb123 (3088.0, 0) (3111.0, 36.0)
sb124 (2805.0, 0) (2836.0, 35.0)
sb125 (2763.0, 0) (2805.0, 46.0)
sb126 (3408.0, 0) (3420.0, 22.0)
sb127 (3383.0, 0) (3408.0, 43.0)
sb128 (3060.0, 0) (3088.0, 44.0)
sb129 (3013.0, 0) (3035.0, 34.0)
sb130 (3702.0, 0) (3732.0, 26.0)
sb131 (3111.0, 0) (3156.0, 48.0)
sb132 (3478.0, 0) (3496.0, 39.0)
sb133 (3368.0, 0) (3383.0, 43.0)
sb134 (3496.0, 0) (3530.0, 47.0)
sb135 (3649.0, 0) (3664.0, 45.0)
sb136 (3261.0, 0) (3273.0, 37.0)
sb137 (3420.0, 0) (3441.0, 28.0)
sb138 (3212.0, 0) (3240.0, 42.0)
sb139 (3176.0, 0) (3212.0, 37.0)
sb140 (3048.0, 0) (3060.0, 43.0)
sb141 (3336.0, 0) (3355.0, 45.0)
sb142 (3309.0, 0) (3336.0, 37.0)
sb143 (3664.0, 0) (3688.0, 25.0)
sb144 (3616.0, 0) (3631.0, 40.0)
sb145 (3664.0, 26.0) (3709.0, 39.0)
sb146 (3530.0, 0) (3563.0, 48.0)
sb147 (3586.0, 0) (3616.0, 42.0)
sb148 (3709.0, 26.0) (3727.0, 46.0)
sb149 (3456.0, 0) (3478.0, 47.0)
sb150 (3563.0, 0) (3586.0, 31.0)
sb151 (3631.0, 0) (3649.0, 42.0)
sb152 (3732.0, 0) (3748.0, 19.0)
sb153 (3812.0, 0) (3842.0, 41.0)
sb154 (3900.0, 0) (3917.0, 22.0)
sb155 (3688.0, 0) (3702.0, 25.0)
sb156 (4077.0, 0) (4093.0, 28.0)
sb157 (3748.0, 0) (3768.0, 25.0)
sb158 (3727.0, 26.0) (3750.0, 39.0)
sb159 (4093.0, 0) (4125.0, 44.0)
sb160 (3768.0, 0) (3795.0, 16.0)
sb161 (4265.0, 0) (4311.0, 47.0)
sb162 (3970.0, 0) (3988.0, 31.0)
sb163 (3750.0, 26.0) (3783.0, 48.0)
sb164 (4491.0, 0) (4527.0, 41.0)
sb165 (3783.0, 26.0) (3800.0, 47.0)
sb166 (4141.0, 0) (4175.0, 36.0)
sb167 (3864.0, 0) (3900.0, 37.0)
sb168 (3917.0, 0) (3941.0, 41.0)
sb169 (4175.0, 0) (4199.0, 39.0)
sb170 (3941.0, 0) (3970.0, 45.0)
sb171 (3842.0, 0) (3864.0, 40.0)
sb172 (4582.0, 0) (4595.0, 27.0)
sb173 (4407.0, 0) (4432.0, 32.0)
sb174 (4125.0, 0) (4141.0, 43.0)
sb175 (4250.0, 0) (4265.0, 16.0)
sb176 (4025.0, 0) (4058.0, 38.0)
sb177 (3988.0, 0) (4025.0, 41.0)
sb178 (3795.0, 0) (3812.0, 19.0)
sb179 (4336.0, 0) (4370.0, 46.0)
sb180 (4058.0, 0) (4077.0, 40.0)
sb181 (4554.0, 0) (4582.0, 30.0)
sb182 (4199.0, 0) (4223.0, 45.0)
sb183 (4458.0, 0) (4491.0, 39.0)
sb184 (4311.0, 0) (4336.0, 46.0)
sb185 (4223.0, 0) (4250.0, 34.0)
sb186 (4971.0, 0) (5002.0, 33.0)
sb187 (4805.0, 0) (4841.0, 38.0)
sb188 (4370.0, 0) (4407.0, 40.0)
sb189 (4542.0, 0) (4554.0, 44.0)
sb190 (4636.0, 0) (4663.0, 37.0)
sb191 (4713.0, 0) (4729.0, 34.0)
sb192 (4841.0, 0) (4870.0, 48.0)
sb193 (5038.0, 0) (5055.0, 33.0)
sb194 (4921.0, 0) (4934.0, 28.0)
sb195 (4623.0, 0) (4636.0, 33.0)
sb196 (5125.0, 0) (5166.0, 41.0)
sb197 (4595.0, 0) (4623.0, 37.0)
sb198 (4663.0, 0) (4682.0, 48.0)
sb199 (4682.0, 0) (4713.0, 36.0)
sb200 (4934.0, 0) (4971.0, 43.0)
sb201 (4432.0, 0) (4458.0, 29.0)
sb202 (5166.0, 0) (5200.0, 39.0)
sb203 (4527.0, 0) (4542.0, 28.0)
sb204 (4888.0, 0) (4921.0, 41.0)
sb205 (5023.0, 0) (5038.0, 21.0)
sb206 (5055.0, 0) (5090.0, 42.0)
sb207 (4729.0, 0) (4757.0, 33.0)
sb208 (5105.0, 0) (5125.0, 27.0)
sb209 (4769.0, 0) (4805.0, 45.0)
sb210 (5230.0, 0) (5243.0, 24.0)
sb211 (4757.0, 0) (4769.0, 16.0)
sb212 (5394.0, 0) (5415.0, 42.0)
sb213 (5415.0, 0) (5429.0, 32.0)
sb214 (5200.0, 0) (5217.0, 27.0)
sb215 (5002.0, 0) (5023.0, 29.0)
sb216 (5448.0, 0) (5467.0, 42.0)
sb217 (5243.0, 0) (5263.0, 48.0)
sb218 (5090.0, 0) (5105.0, 43.0)
sb219 (4870.0, 0) (4888.0, 28.0)
sb220 (5467.0, 0) (5497.0, 37.0)
sb221 (5217.0, 0) (5230.0, 45.0)
sb222 (5554.0, 0) (5579.0, 34.0)
sb223 (5293.0, 0) (5312.0, 22.0)
sb224 (5360.0, 0) (5381.0, 45.0)
sb225 (5579.0, 0) (5617.0, 47.0)
sb226 (5538.0, 0) (5554.0, 39.0)
sb227 (5978.0, 0) (5991.0, 32.0)
sb228 (5712.0, 0) (5732.0, 21.0)
sb229 (5630.0, 0) (5654.0, 48.0)
sb230 (5263.0, 0) (5293.0, 33.0)
sb231 (5962.0, 0) (5978.0, 30.0)
sb232 (6126.0, 0) (6149.0, 42.0)
sb233 (6025.0, 0) (6038.0, 16.0)
sb234 (5497.0, 0) (5515.0, 33.0)
sb235 (6038.0, 0) (6060.0, 46.0)
sb236 (5333.0, 0) (5360.0, 39.0)
sb237 (5312.0, 0) (5333.0, 40.0)
sb238 (6179.0, 0) (6206.0, 39.0)
sb239 (5785.0, 0) (5807.0, 40.0)
sb240 (5429.0, 0) (5448.0, 23.0)
sb241 (5617.0, 0) (5630.0, 24.0)
sb242 (5763.0, 0) (5785.0, 40.0)
sb243 (5678.0, 0) (5712.0, 37.0)
sb244 (5381.0, 0) (5394.0, 37.0)
sb245 (5654.0, 0) (5678.0, 36.0)
sb246 (5515.0, 0) (5538.0, 44.0)
sb247 (5926.0, 0) (5962.0, 39.0)
sb248 (5732.0, 0) (5763.0, 43.0)
sb249 (5846.0, 0) (5873.0, 35.0)
sb250 (5873.0, 0) (5904.0, 34.0)
sb251 (6347.0, 0) (6381.0, 43.0)
sb252 (6081.0, 0) (6100.0, 28.0)
sb253 (6278.0, 0) (6291.0, 15.0)
sb254 (6100.0, 0) (6113.0, 24.0)
sb255 (5807.0, 0) (5846.0, 47.0)
sb256 (6113.0, 0) (6126.0, 21.0)
sb257 (6318.0, 0) (6335.0, 33.0)
sb258 (6206.0, 0) (6240.0, 44.0)
sb259 (6335.0, 0) (6347.0, 26.0)
sb260 (6496.0, 0) (6508.0, 19.0)
sb261 (6149.0, 0) (6161.0, 45.0)
sb262 (6291.0, 0) (6318.0, 48.0)
sb263 (6450.0, 0) (6496.0, 47.0)
sb264 (6240.0, 0) (6263.0, 45.0)
sb265 (6263.0, 0) (6278.0, 45.0)
sb266 (6381.0, 0) (6426.0, 48.0)
sb267 (5991.0, 0) (6025.0, 39.0)
sb268 (5904.0, 0) (5926.0, 25.0)
sb269 (6161.0, 0) (6179.0, 37.0)
sb270 (6508.0, 0) (6523.0, 23.0)
sb271 (6426.0, 0) (6450.0, 42.0)
sb272 (6523.0, 0) (6558.0, 24.0)
sb273 (6060.0, 0) (6081.0, 30.0)
sb274 (6524.0, 24.0) (6557.0, 45.0)
sb275 (6496.0, 24.0) (6524.0, 46.0)
sb276 (6702.0, 0) (6716.0, 31.0)
sb277 (6873.0, 0) (6885.0, 47.0)
sb278 (6558.0, 0) (6571.0, 42.0)
sb279 (6798.0, 0) (6837.0, 43.0)
sb280 (6975.0, 0) (6997.0, 31.0)
